session_id,user_id,session_date,channel,device
1,1,2024-02-17,Facebook,desktop
2,1,2024-01-30,Google,desktop
3,1,2024-02-11,Facebook,mobile
4,1,2024-02-08,TikTok,desktop
5,1,2024-02-10,Google,desktop
6,2,2024-02-03,Facebook,mobile
7,2,2024-02-08,TikTok,desktop
8,2,2024-01-30,Google,desktop
9,2,2024-01-28,Google,mobile
10,3,2024-02-15,Facebook,mobile
11,3,2024-02-29,Facebook,mobile
12,3,2024-02-13,Facebook,mobile
13,3,2024-02-19,Google,desktop
14,4,2024-01-05,TikTok,desktop
15,4,2024-01-29,Facebook,desktop
16,4,2024-01-11,Facebook,desktop
17,4,2024-01-27,Facebook,mobile
18,4,2024-01-13,Google,mobile
19,5,2024-03-17,TikTok,desktop
20,5,2024-03-12,Google,desktop
21,5,2024-03-23,Facebook,desktop
22,5,2024-03-08,Facebook,mobile
23,5,2024-03-23,Google,desktop
24,6,2024-02-10,TikTok,mobile
25,6,2024-02-24,Google,desktop
26,6,2024-02-13,Facebook,mobile
27,7,2024-02-15,Google,desktop
28,7,2024-02-13,TikTok,desktop
29,7,2024-02-21,Facebook,mobile
30,7,2024-02-11,Facebook,desktop
31,7,2024-02-07,TikTok,desktop
32,8,2024-03-04,TikTok,mobile
33,8,2024-03-07,Google,mobile
34,8,2024-03-06,TikTok,desktop
35,8,2024-03-01,TikTok,desktop
36,9,2024-02-25,Google,mobile
37,9,2024-02-20,Google,mobile
38,9,2024-03-02,Google,desktop
39,9,2024-03-04,Facebook,mobile
40,9,2024-02-22,Google,desktop
41,9,2024-02-08,Facebook,mobile
42,10,2024-02-28,Facebook,mobile
43,10,2024-02-24,Google,desktop
44,10,2024-03-06,TikTok,mobile
45,10,2024-02-26,Google,mobile
46,10,2024-02-08,Google,desktop
47,10,2024-02-23,Facebook,mobile
48,10,2024-02-12,Facebook,mobile
49,11,2024-03-13,TikTok,mobile
50,11,2024-03-18,Facebook,desktop
51,12,2024-02-04,Facebook,mobile
52,12,2024-02-27,TikTok,desktop
53,12,2024-02-02,Facebook,mobile
54,12,2024-02-12,TikTok,mobile
55,12,2024-02-06,Google,mobile
56,13,2024-02-17,Google,desktop
57,13,2024-02-06,Facebook,mobile
58,13,2024-02-19,Google,mobile
59,13,2024-02-29,TikTok,desktop
60,13,2024-02-17,Google,mobile
61,14,2024-01-29,Google,mobile
62,14,2024-02-22,Facebook,desktop
63,14,2024-02-25,Facebook,mobile
64,14,2024-01-28,Facebook,desktop
65,14,2024-02-14,Facebook,mobile
66,14,2024-02-21,Facebook,desktop
67,15,2024-03-15,Facebook,mobile
68,15,2024-03-05,TikTok,mobile
69,15,2024-03-08,Facebook,desktop
70,15,2024-03-30,TikTok,mobile
71,16,2024-03-11,Facebook,desktop
72,16,2024-03-10,Google,mobile
73,16,2024-02-20,TikTok,mobile
74,16,2024-02-26,Facebook,desktop
75,16,2024-02-23,Google,desktop
76,16,2024-03-13,Google,desktop
77,17,2024-02-23,Google,mobile
78,17,2024-02-25,Facebook,desktop
79,17,2024-02-05,Facebook,desktop
80,17,2024-02-21,Google,mobile
81,17,2024-02-27,TikTok,mobile
82,17,2024-03-02,Google,mobile
83,18,2024-02-17,Google,desktop
84,19,2024-03-01,Google,desktop
85,19,2024-02-22,Google,desktop
86,19,2024-02-25,Facebook,mobile
87,19,2024-03-10,TikTok,desktop
88,19,2024-03-22,TikTok,mobile
89,19,2024-03-16,Google,desktop
90,19,2024-03-04,Facebook,mobile
91,20,2024-03-09,Google,mobile
92,20,2024-03-16,Google,mobile
93,21,2024-02-08,Facebook,desktop
94,21,2024-01-29,TikTok,desktop
95,21,2024-01-13,Google,mobile
96,21,2024-01-20,TikTok,mobile
97,21,2024-02-02,TikTok,desktop
98,21,2024-01-24,TikTok,desktop
99,21,2024-01-14,Google,desktop
100,21,2024-02-06,Facebook,desktop
101,21,2024-01-29,TikTok,mobile
102,21,2024-01-25,Google,mobile
103,21,2024-02-03,TikTok,desktop
104,22,2024-02-09,Google,mobile
105,22,2024-02-29,Google,desktop
106,22,2024-02-22,TikTok,mobile
107,22,2024-02-20,Facebook,mobile
108,23,2024-01-17,Facebook,mobile
109,23,2024-01-05,TikTok,desktop
110,23,2024-01-17,Google,mobile
111,24,2024-02-13,Google,desktop
112,24,2024-02-22,Facebook,mobile
113,24,2024-02-27,Facebook,desktop
114,24,2024-02-24,Facebook,desktop
115,24,2024-02-14,Facebook,desktop
116,24,2024-02-09,Google,mobile
117,24,2024-02-24,Google,mobile
118,24,2024-02-17,Facebook,desktop
119,25,2024-03-20,Google,mobile
120,25,2024-02-29,Facebook,mobile
121,25,2024-03-03,TikTok,mobile
122,26,2024-03-01,Facebook,desktop
123,26,2024-03-02,TikTok,desktop
124,26,2024-03-07,Google,desktop
125,27,2024-03-01,Facebook,desktop
126,27,2024-02-28,Facebook,desktop
127,27,2024-02-21,Facebook,desktop
128,27,2024-02-11,Facebook,desktop
129,27,2024-02-24,Facebook,desktop
130,28,2024-02-01,Facebook,desktop
131,28,2024-01-29,Google,mobile
132,28,2024-02-12,Facebook,desktop
133,28,2024-02-17,Google,desktop
134,28,2024-02-24,Google,mobile
135,28,2024-02-10,Facebook,desktop
136,28,2024-02-23,Facebook,mobile
137,28,2024-02-11,Google,mobile
138,29,2024-03-03,Google,desktop
139,29,2024-03-14,TikTok,mobile
